Time	Node	Type	Packets	
11	leaf-3	CacheHits	0
11	leaf-3	CacheMisses	10
11	leaf-4	CacheHits	0
11	leaf-4	CacheMisses	10
11	rtr-1	CacheHits	10
11	rtr-1	CacheMisses	10
11	rtr-2	CacheHits	10
11	rtr-2	CacheMisses	10
11	root	CacheHits	10
11	root	CacheMisses	10
12	leaf-1	CacheHits	0
12	leaf-1	CacheMisses	10
12	leaf-2	CacheHits	0
12	leaf-2	CacheMisses	10
12	leaf-3	CacheHits	0
12	leaf-3	CacheMisses	10
12	leaf-4	CacheHits	0
12	leaf-4	CacheMisses	10
12	rtr-1	CacheHits	10
12	rtr-1	CacheMisses	10
12	rtr-2	CacheHits	10
12	rtr-2	CacheMisses	10
12	root	CacheHits	10
12	root	CacheMisses	10
13	leaf-1	CacheHits	0
13	leaf-1	CacheMisses	10
13	leaf-2	CacheHits	0
13	leaf-2	CacheMisses	10
13	leaf-3	CacheHits	0
13	leaf-3	CacheMisses	10
13	leaf-4	CacheHits	0
13	leaf-4	CacheMisses	10
13	rtr-1	CacheHits	10
13	rtr-1	CacheMisses	10
13	rtr-2	CacheHits	10
13	rtr-2	CacheMisses	10
13	root	CacheHits	10
13	root	CacheMisses	10
14	leaf-1	CacheHits	0
14	leaf-1	CacheMisses	10
14	leaf-2	CacheHits	0
14	leaf-2	CacheMisses	10
14	leaf-3	CacheHits	0
14	leaf-3	CacheMisses	10
14	leaf-4	CacheHits	0
14	leaf-4	CacheMisses	10
14	rtr-1	CacheHits	10
14	rtr-1	CacheMisses	10
14	rtr-2	CacheHits	10
14	rtr-2	CacheMisses	10
14	root	CacheHits	10
14	root	CacheMisses	10
15	leaf-1	CacheHits	0
15	leaf-1	CacheMisses	10
15	leaf-2	CacheHits	0
15	leaf-2	CacheMisses	10
15	leaf-3	CacheHits	0
15	leaf-3	CacheMisses	10
15	leaf-4	CacheHits	0
15	leaf-4	CacheMisses	10
15	rtr-1	CacheHits	10
15	rtr-1	CacheMisses	10
15	rtr-2	CacheHits	10
15	rtr-2	CacheMisses	10
15	root	CacheHits	10
15	root	CacheMisses	10
16	leaf-1	CacheHits	0
16	leaf-1	CacheMisses	10
16	leaf-2	CacheHits	0
16	leaf-2	CacheMisses	10
16	leaf-3	CacheHits	0
16	leaf-3	CacheMisses	10
16	leaf-4	CacheHits	0
16	leaf-4	CacheMisses	10
16	rtr-1	CacheHits	10
16	rtr-1	CacheMisses	10
16	rtr-2	CacheHits	10
16	rtr-2	CacheMisses	10
16	root	CacheHits	10
16	root	CacheMisses	10
17	leaf-1	CacheHits	0
17	leaf-1	CacheMisses	10
17	leaf-2	CacheHits	0
17	leaf-2	CacheMisses	10
17	leaf-3	CacheHits	0
17	leaf-3	CacheMisses	10
17	leaf-4	CacheHits	0
17	leaf-4	CacheMisses	10
17	rtr-1	CacheHits	10
17	rtr-1	CacheMisses	10
17	rtr-2	CacheHits	10
17	rtr-2	CacheMisses	10
17	root	CacheHits	10
17	root	CacheMisses	10
18	leaf-1	CacheHits	0
18	leaf-1	CacheMisses	10
18	leaf-2	CacheHits	0
18	leaf-2	CacheMisses	10
18	leaf-3	CacheHits	0
18	leaf-3	CacheMisses	10
18	leaf-4	CacheHits	0
18	leaf-4	CacheMisses	10
18	rtr-1	CacheHits	10
18	rtr-1	CacheMisses	10
18	rtr-2	CacheHits	10
18	rtr-2	CacheMisses	10
18	root	CacheHits	10
18	root	CacheMisses	10
19	leaf-1	CacheHits	0
19	leaf-1	CacheMisses	10
19	leaf-2	CacheHits	0
19	leaf-2	CacheMisses	10
19	leaf-3	CacheHits	0
19	leaf-3	CacheMisses	10
19	leaf-4	CacheHits	0
19	leaf-4	CacheMisses	10
19	rtr-1	CacheHits	10
19	rtr-1	CacheMisses	10
19	rtr-2	CacheHits	10
19	rtr-2	CacheMisses	10
19	root	CacheHits	10
19	root	CacheMisses	10
